user_id,variant,user_segment,age_group,region,send_time,subject_line,opened,clicked,converted
user_00000,A,Free,25-34,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00001,B,Free,35-44,North America,Afternoon,We picked these songs just for you,0,0,0
user_00002,A,Premium,25-34,Europe,Evening,We picked these songs just for you,0,0,0
user_00003,A,Free,18-24,Asia Pacific,Evening,Your Weekly Music Recap is Here,0,0,0
user_00004,A,Premium,18-24,Europe,Morning,We picked these songs just for you,1,0,0
user_00005,B,Free,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00006,A,Premium,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00007,A,Premium,25-34,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00008,A,Free,25-34,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00009,B,Free,18-24,North America,Afternoon,We picked these songs just for you,1,0,0
user_00010,A,Free,18-24,Asia Pacific,Evening,We picked these songs just for you,1,0,0
user_00011,A,Premium,18-24,Europe,Morning,We picked these songs just for you,1,0,0
user_00012,A,Free,45+,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00013,A,Free,25-34,North America,Morning,We picked these songs just for you,0,0,0
user_00014,B,Free,45+,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00015,A,Free,35-44,Europe,Evening,Your Weekly Music Recap is Here,1,0,0
user_00016,B,Free,25-34,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00017,B,Free,35-44,Europe,Evening,Your Weekly Music Recap is Here,1,0,0
user_00018,B,Free,18-24,Latin America,Evening,We picked these songs just for you,0,0,0
user_00019,A,Premium,35-44,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00020,B,Free,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00021,A,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00022,B,Premium,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00023,B,Premium,35-44,Europe,Morning,We picked these songs just for you,0,0,0
user_00024,B,Premium,18-24,North America,Evening,We picked these songs just for you,1,1,0
user_00025,B,Free,45+,Europe,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00026,B,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00027,B,Free,35-44,Asia Pacific,Afternoon,We picked these songs just for you,1,0,0
user_00028,B,Premium,25-34,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00029,B,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00030,A,Free,25-34,Europe,Evening,We picked these songs just for you,1,0,0
user_00031,A,Free,45+,Europe,Afternoon,We picked these songs just for you,0,0,0
